date,content,url,hashtags
2022-11-17 23:49:12+00:00,"This is awesome 👍😎 and a great idea 💡
And for all those naysayers out there saying ""what about the pollution caused by making heart shaped hole punches""?
Well how do you think they make the paper confetti?? 🙄🤣 https://t.co/yN3ICfd0ou",https://twitter.com/Ramonag50558858/status/1593390832618536961,
2022-11-17 23:35:04+00:00,"@RobertB20617044 @CP24 Great idea. I like the way you think?
It will cut down on type 2 diabetes. We need to take the burden off our hospitals.
While we are at it let's ban all fast food and drive thru's. It will reduce obesity and pollution all in one swoop.
You are f-ing brilliant",https://twitter.com/Aj37476965/status/1593387275647344642,
2022-11-17 23:03:26+00:00,"Pavlov's Balls - part 8

With this skit I'm trying to get to make #pollution personal to people.

If it was your balls being kicked you wouldn't put up with reduced kicks in the balls.

We need everyone to demand 100% zero emissions and energy independence now! #ClimateActionNow https://t.co/84qiENynLK",https://twitter.com/IdeaBomber/status/1593379315286056960,"['pollution', 'ClimateActionNow']"
2022-11-17 23:03:05+00:00,@jadeflame4 No idea. I haven’t seen it and I don’t know what counts as light pollution.,https://twitter.com/BronwynAnn/status/1593379224416440321,
2022-11-17 22:49:46+00:00,"@darkskychi @KWalzar Video idea, @Nerd4Cities: top 10 cities for stargazing (least light pollution)",https://twitter.com/EveAChase/status/1593375874065178630,
2022-11-17 22:25:15+00:00,"@AntonWeye The entire market is just made up nonsense, mate. Entirely fabricated based on layers and layers of speculation. Nobody has any idea what they're doing. 

I prefer to operate in real science. I'm focused on controlling air pollution and reducing the incidence of childhood asthma.",https://twitter.com/dersuasion/status/1593369705082802177,
2022-11-17 22:17:54+00:00,"Pavlov's Balls - part 4

In the skit I'm in a lab coat with a clipboard and pick a man out of the audience and I ask them 10 questions.

The questions are about what went through their mind when they thought they were about to be kicked in the balls. (kicks = pollution) https://t.co/84qiENynLK https://t.co/1K1adeclBU",https://twitter.com/IdeaBomber/status/1593367852362276864,
2022-11-17 22:10:28+00:00,"@Iamskununzy souls need saving bro, I don't buy the idea of noise pollution either, make Dem sha reduce volume",https://twitter.com/Blackboi__/status/1593365984450076676,
2022-11-17 21:53:05+00:00,Character idea: air spirits in a city who dress punk and smoke a lot because there’s pollution and they reflect the environment,https://twitter.com/brunchbixch/status/1593361609556107265,
2022-11-17 21:53:04+00:00,"Pavlov's Balls - part 3

The #Green movement has been only ""reducing"" pollution not Eliminating it.

The point of this skit is when it's YOUR balls being kicked it's no longer statistical or happening to someone else, and you would act and speak differently. https://t.co/AtxNXx5IWt",https://twitter.com/IdeaBomber/status/1593361603646275584,['Green']
2022-11-17 21:26:25+00:00,"@SGuthrieSydney @InertialConatus @ClimateHuman Yes, &amp; e-buses wld make a big difference to ghgs &amp; air pollution.
Less ICEVs wld encourage more active transport as currently so much exposure to diesel/petrol exhaust.
Aust has some great dedicated bike lanes, separated from traffic. We need more. I like Korean idea w/ PV. https://t.co/74jPZUzpe7",https://twitter.com/Anna98831/status/1593354900133449728,
2022-11-17 21:07:47+00:00,"@AliciaMixedUp @GLAConservative @NJROnline Seems a good idea, terrible to think of the deaths from air pollution https://t.co/YXCFvHHDsS",https://twitter.com/Anothergreen/status/1593350209546903553,
